Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-02-12,J (Apr 2026),0.0000,0.0000,0.0000,0.0000,20.6289,0,0,0,0
2026-02-13,J (Apr 2026),0.0000,0.0000,0.0000,0.0000,20.8254,0.1965,0,0,0
2026-02-17,J (Apr 2026),0.0000,13.7500,0.0000,0.0000,20.2175,-0.6079,0,0,0
2026-02-18,J (Apr 2026),0.0000,13.7500,0.0000,0.0000,20.1587,-0.0588,0,0,0
2026-02-19,J (Apr 2026),0.0000,13.7500,0.0000,0.0000,20.7531,0.5944,0,0,0
2026-02-20,J (Apr 2026),0.0000,13.7500,28.6000,0.0000,20.2231,-0.5300,0,0,0
2026-02-23,J (Apr 2026),0.0000,19.9000,30.0000,0.0000,21.0977,0.8746,0,0,0
2026-02-24,J (Apr 2026),0.0000,15.2500,38.4500,0.0000,20.2524,-0.8453,0,0,0
2026-02-25,J (Apr 2026),0.0000,15.7500,0.0000,0.0000,19.4492,-0.8032,0,0,0
2026-02-26,J (Apr 2026),0.0000,15.7500,0.0000,0.0000,19.7561,0.3069,0,0,0
2026-02-27,J (Apr 2026),0.0000,15.7500,38.4500,0.0000,20.6361,0.8800,0,0,0
2026-03-02,J (Apr 2026),0.0000,13.7500,0.0000,0.0000,20.932,0.2959,0,0,0
2026-03-03,J (Apr 2026),0.0000,12.7500,44.7000,0.0000,22.1056,1.1736,0,0,0
2026-03-04,J (Apr 2026),0.0000,12.7500,0.0000,0.0000,21.2017,-0.9039,0,0,0
2026-03-05,J (Apr 2026),0.0000,12.7500,0.0000,0.0000,22.9737,1.7720,0,0,0
2026-03-06,J (Apr 2026),0.0000,13.1000,0.0000,0.0000,26.9657,3.9920,0,0,0
2026-03-09,J (Apr 2026),0.0000,17.7500,0.0000,0.0000,23.5673,-3.3984,0,0,0
2026-03-10,J (Apr 2026),0.0000,13.7500,0.0000,0.0000,25.0953,1.5280,0,0,0
2026-03-11,J (Apr 2026),0.0000,14.7500,0.0000,0.0000,23.5823,-1.5130,0,0,0
2026-03-12,J (Apr 2026),0.0000,14.7500,0.0000,0.0000,25.8135,2.2312,0,0,0
2026-03-13,J (Apr 2026),0.0000,20.0000,25.5000,0.0000,26.3706,0.5571,0,0,0
2026-03-16,J (Apr 2026),0.0000,14.7500,48.7000,0.0000,23.3145,-3.0561,0,0,0
2026-03-17,J (Apr 2026),0.0000,15.7500,48.7000,0.0000,22.3122,-1.0023,0,0,0
2026-03-18,J (Apr 2026),0.0000,14.7500,0.0000,0.0000,24.6547,2.3425,0,0,0
2026-03-19,J (Apr 2026),0.0000,24.5000,0.0000,0.0000,23.9468,-0.7079,0,0,0
2026-03-20,J (Apr 2026),0.0000,15.7500,30.0000,0.0000,25.7467,1.7999,0,0,0
2026-03-23,J (Apr 2026),0.0000,26.5500,23.3500,0.0000,24.3024,-1.4443,0,0,0
2026-03-24,J (Apr 2026),0.0000,15.7500,24.6500,0.0000,24.9404,0.6380,0,0,0
2026-03-25,J (Apr 2026),0.0000,15.7500,48.7000,0.0000,24.2885,-0.6519,0,0,0
2026-03-26,J (Apr 2026),23.5500,23.9000,23.5500,23.5500,26.2588,1.9703,1,0,1
2026-03-27,J (Apr 2026),25.6500,26.4500,25.6500,25.6500,28.49,2.2312,2,0,3
2026-03-30,J (Apr 2026),29.3500,29.3500,29.3500,29.3500,28.2082,-0.2818,1,0,3
2026-03-31,J (Apr 2026),0.0000,25.0000,26.6000,0.0000,25.0224,-3.1858,0,0,3
2026-04-01,J (Apr 2026),25.0000,25.0000,25.0000,25.0000,24.98,-0.0424,2,0,1
